Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,Mg Compound,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error1s,Mg User Factor Slope,Mg User Factor Offset,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error1s,Al User Factor Slope,Al User Factor Offset,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error1s,Si User Factor Slope,Si User Factor Offset,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,P User Factor Slope,P User Factor Offset,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,S User Factor Slope,S User Factor Offset,Cl Compound,Cl Compound Level,Cl Compound Error,Cl Concentration,Cl Error1s,Cl User Factor Slope,Cl User Factor Offset,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ca User Factor Slope,Ca User Factor Offset,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,Ti User Factor Slope,Ti User Factor Offset,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,V User Factor Slope,V User Factor Offset,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Cr User Factor Slope,Cr User Factor Offset,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Mn User Factor Slope,Mn User Factor Offset,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Fe User Factor Slope,Fe User Factor Offset,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Co User Factor Slope,Co User Factor Offset,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Ni User Factor Slope,Ni User Factor Offset,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Cu User Factor Slope,Cu User Factor Offset,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,Zn User Factor Slope,Zn User Factor Offset,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,As User Factor Slope,As User Factor Offset,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Se User Factor Slope,Se User Factor Offset,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Rb User Factor Slope,Rb User Factor Offset,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Sr User Factor Slope,Sr User Factor Offset,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Y User Factor Slope,Y User Factor Offset,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Zr User Factor Slope,Zr User Factor Offset,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Nb User Factor Slope,Nb User Factor Offset,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Mo User Factor Slope,Mo User Factor Offset,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Ag User Factor Slope,Ag User Factor Offset,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Cd User Factor Slope,Cd User Factor Offset,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sn User Factor Slope,Sn User Factor Offset,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Sb User Factor Slope,Sb User Factor Offset,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,Ba User Factor Slope,Ba User Factor Offset,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,La User Factor Slope,La User Factor Offset,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Ce User Factor Slope,Ce User Factor Offset,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Pr User Factor Slope,Pr User Factor Offset,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Nd User Factor Slope,Nd User Factor Offset,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,W User Factor Slope,W User Factor Offset,Au Compound,Au Compound Level,Au Compound Error,Au Concentration,Au Error1s,Au User Factor Slope,Au User Factor Offset,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Hg User Factor Slope,Hg User Factor Offset,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Pb User Factor Slope,Pb User Factor Offset,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Bi User Factor Slope,Bi User Factor Offset,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,Th User Factor Slope,Th User Factor Offset,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,U User Factor Slope,U User Factor Offset,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error1s,LE User Factor Slope,LE User Factor Offset,info,Real Time 1,Real Time 2,Real Time 3,
820926,1,2024-04-22,10:32:50,Geochem(3-Beam),,1,No,,,PPM,,,,<LOD,73561,1.00000,0.00000,,,,14515,1129,1.00000,0.00000,,,,106382,991,1.00000,0.00000,,,,4555,136,1.00000,0.00000,,,,2573,102,1.00000,0.00000,,,,1503,124,1.00000,0.00000,,,,26103,231,1.00000,0.00000,,,,3864,321,1.00000,0.00000,,,,<LOD,400,1.00000,0.00000,,,,370,63,1.00000,0.00000,,,,1344,71,1.00000,0.00000,,,,30968,341,1.00000,0.00000,,,,<LOD,329,1.00000,0.00000,,,,49,13,1.00000,0.00000,,,,951,31,1.00000,0.00000,,,,571,21,1.00000,0.00000,,,,33,6,1.00000,0.00000,,,,<LOD,9,1.00000,0.00000,,,,37,3,1.00000,0.00000,,,,111,4,1.00000,0.00000,,,,27,3,1.00000,0.00000,,,,126,5,1.00000,0.00000,,,,27,4,1.00000,0.00000,,,,26,4,1.00000,0.00000,,,,<LOD,0,1.00000,0.00000,,,,<LOD,88,1.00000,0.00000,,,,<LOD,97,1.00000,0.00000,,,,<LOD,126,1.00000,0.00000,,,,<LOD,6167,1.00000,0.00000,,,,<LOD,11346,1.00000,0.00000,,,,<LOD,12055,1.00000,0.00000,,,,<LOD,17715,1.00000,0.00000,,,,<LOD,36350,1.00000,0.00000,,,,<LOD,108,1.00000,0.00000,,,,<LOD,25,1.00000,0.00000,,,,<LOD,54,1.00000,0.00000,,,,67,7,1.00000,0.00000,,,,<LOD,106,1.00000,0.00000,,,,87,11,1.00000,0.00000,,,,15,5,1.00000,0.00000,,,,805696,1397,1.00000,0.00000,B_B3_W,10,20,20,
820926,2,2024-04-22,10:45:24,Geochem(3-Beam),,2,No,,,PPM,,,,<LOD,100285,1.00000,0.00000,,,,9083,1785,1.00000,0.00000,,,,69899,1060,1.00000,0.00000,,,,7247,221,1.00000,0.00000,,,,3044,156,1.00000,0.00000,,,,3315,204,1.00000,0.00000,,,,34123,405,1.00000,0.00000,,,,7594,531,1.00000,0.00000,,,,<LOD,598,1.00000,0.00000,,,,811,105,1.00000,0.00000,,,,5259,176,1.00000,0.00000,,,,19584,336,1.00000,0.00000,,,,<LOD,331,1.00000,0.00000,,,,102,21,1.00000,0.00000,,,,4331,93,1.00000,0.00000,,,,686,31,1.00000,0.00000,,,,41,9,1.00000,0.00000,,,,<LOD,13,1.00000,0.00000,,,,16,3,1.00000,0.00000,,,,66,4,1.00000,0.00000,,,,20,4,1.00000,0.00000,,,,62,5,1.00000,0.00000,,,,28,5,1.00000,0.00000,,,,36,6,1.00000,0.00000,,,,9,2,1.00000,0.00000,,,,<LOD,116,1.00000,0.00000,,,,<LOD,125,1.00000,0.00000,,,,<LOD,169,1.00000,0.00000,,,,<LOD,7691,1.00000,0.00000,,,,<LOD,14021,1.00000,0.00000,,,,<LOD,14816,1.00000,0.00000,,,,<LOD,21737,1.00000,0.00000,,,,<LOD,46129,1.00000,0.00000,,,,<LOD,167,1.00000,0.00000,,,,<LOD,38,1.00000,0.00000,,,,<LOD,74,1.00000,0.00000,,,,102,10,1.00000,0.00000,,,,<LOD,145,1.00000,0.00000,,,,86,14,1.00000,0.00000,,,,20,7,1.00000,0.00000,,,,834436,1951,1.00000,0.00000,B_B2_W,10,20,20,
820926,3,2024-04-22,10:53:06,Geochem(3-Beam),,3,No,,,PPM,,,,<LOD,105806,1.00000,0.00000,,,,3858,1061,1.00000,0.00000,,,,40207,545,1.00000,0.00000,,,,3817,117,1.00000,0.00000,,,,2330,88,1.00000,0.00000,,,,2011,109,1.00000,0.00000,,,,25982,214,1.00000,0.00000,,,,1806,233,1.00000,0.00000,,,,<LOD,291,1.00000,0.00000,,,,<LOD,240,1.00000,0.00000,,,,958,55,1.00000,0.00000,,,,14404,186,1.00000,0.00000,,,,<LOD,206,1.00000,0.00000,,,,40,10,1.00000,0.00000,,,,1455,33,1.00000,0.00000,,,,434,16,1.00000,0.00000,,,,20,4,1.00000,0.00000,,,,<LOD,7,1.00000,0.00000,,,,17,2,1.00000,0.00000,,,,73,3,1.00000,0.00000,,,,19,2,1.00000,0.00000,,,,54,3,1.00000,0.00000,,,,21,3,1.00000,0.00000,,,,19,3,1.00000,0.00000,,,,<LOD,0,1.00000,0.00000,,,,<LOD,81,1.00000,0.00000,,,,<LOD,89,1.00000,0.00000,,,,<LOD,118,1.00000,0.00000,,,,<LOD,5100,1.00000,0.00000,,,,<LOD,9596,1.00000,0.00000,,,,<LOD,10329,1.00000,0.00000,,,,<LOD,15223,1.00000,0.00000,,,,<LOD,31190,1.00000,0.00000,,,,<LOD,96,1.00000,0.00000,,,,<LOD,23,1.00000,0.00000,,,,<LOD,46,1.00000,0.00000,,,,47,5,1.00000,0.00000,,,,<LOD,97,1.00000,0.00000,,,,83,9,1.00000,0.00000,,,,24,4,1.00000,0.00000,,,,902321,1158,1.00000,0.00000,B_C1_W,10,20,20,
820926,4,2024-04-22,11:00:59,Geochem(3-Beam),,4,No,,,PPM,,,,<LOD,111595,1.00000,0.00000,,,,12025,2141,1.00000,0.00000,,,,136179,1898,1.00000,0.00000,,,,8916,308,1.00000,0.00000,,,,4924,226,1.00000,0.00000,,,,3943,285,1.00000,0.00000,,,,47155,647,1.00000,0.00000,,,,11775,801,1.00000,0.00000,,,,<LOD,983,1.00000,0.00000,,,,839,142,1.00000,0.00000,,,,941,110,1.00000,0.00000,,,,33896,606,1.00000,0.00000,,,,<LOD,512,1.00000,0.00000,,,,<LOD,116,1.00000,0.00000,,,,1642,67,1.00000,0.00000,,,,484,33,1.00000,0.00000,,,,<LOD,41,1.00000,0.00000,,,,<LOD,20,1.00000,0.00000,,,,31,5,1.00000,0.00000,,,,102,6,1.00000,0.00000,,,,24,5,1.00000,0.00000,,,,119,8,1.00000,0.00000,,,,32,7,1.00000,0.00000,,,,<LOD,35,1.00000,0.00000,,,,<LOD,0,1.00000,0.00000,,,,<LOD,149,1.00000,0.00000,,,,<LOD,165,1.00000,0.00000,,,,<LOD,216,1.00000,0.00000,,,,<LOD,9487,1.00000,0.00000,,,,<LOD,16654,1.00000,0.00000,,,,<LOD,18306,1.00000,0.00000,,,,<LOD,27179,1.00000,0.00000,,,,<LOD,57295,1.00000,0.00000,,,,<LOD,242,1.00000,0.00000,,,,<LOD,62,1.00000,0.00000,,,,<LOD,114,1.00000,0.00000,,,,58,12,1.00000,0.00000,,,,<LOD,182,1.00000,0.00000,,,,65,19,1.00000,0.00000,,,,<LOD,62,1.00000,0.00000,,,,736853,2616,1.00000,0.00000,B_A1_W,10,20,20,
820926,5,2024-04-22,11:10:04,Geochem(3-Beam),,5,No,,,PPM,,,,<LOD,123511,1.00000,0.00000,,,,6930,1805,1.00000,0.00000,,,,53214,917,1.00000,0.00000,,,,6428,212,1.00000,0.00000,,,,3419,157,1.00000,0.00000,,,,2709,198,1.00000,0.00000,,,,37637,444,1.00000,0.00000,,,,11770,613,1.00000,0.00000,,,,<LOD,733,1.00000,0.00000,,,,493,97,1.00000,0.00000,,,,1179,92,1.00000,0.00000,,,,18991,332,1.00000,0.00000,,,,<LOD,327,1.00000,0.00000,,,,55,18,1.00000,0.00000,,,,2493,67,1.00000,0.00000,,,,430,25,1.00000,0.00000,,,,<LOD,39,1.00000,0.00000,,,,<LOD,12,1.00000,0.00000,,,,22,3,1.00000,0.00000,,,,71,4,1.00000,0.00000,,,,28,4,1.00000,0.00000,,,,71,5,1.00000,0.00000,,,,21,5,1.00000,0.00000,,,,<LOD,28,1.00000,0.00000,,,,<LOD,0,1.00000,0.00000,,,,<LOD,119,1.00000,0.00000,,,,<LOD,129,1.00000,0.00000,,,,<LOD,172,1.00000,0.00000,,,,<LOD,7352,1.00000,0.00000,,,,<LOD,13611,1.00000,0.00000,,,,<LOD,13474,1.00000,0.00000,,,,<LOD,19628,1.00000,0.00000,,,,<LOD,41912,1.00000,0.00000,,,,<LOD,163,1.00000,0.00000,,,,<LOD,43,1.00000,0.00000,,,,<LOD,83,1.00000,0.00000,,,,79,9,1.00000,0.00000,,,,<LOD,147,1.00000,0.00000,,,,85,14,1.00000,0.00000,,,,31,7,1.00000,0.00000,,,,853844,1949,1.00000,0.00000,B_A3_W,10,20,20,
820926,6,2024-04-22,11:20:01,Geochem(3-Beam),,6,No,,,PPM,,,,<LOD,141082,1.00000,0.00000,,,,<LOD,17028,1.00000,0.00000,,,,90725,2164,1.00000,0.00000,,,,13035,519,1.00000,0.00000,,,,8203,392,1.00000,0.00000,,,,7157,486,1.00000,0.00000,,,,112828,2072,1.00000,0.00000,,,,11438,1277,1.00000,0.00000,,,,<LOD,1417,1.00000,0.00000,,,,<LOD,786,1.00000,0.00000,,,,3632,279,1.00000,0.00000,,,,16669,557,1.00000,0.00000,,,,<LOD,541,1.00000,0.00000,,,,179,52,1.00000,0.00000,,,,5725,201,1.00000,0.00000,,,,1013,69,1.00000,0.00000,,,,<LOD,86,1.00000,0.00000,,,,<LOD,38,1.00000,0.00000,,,,22,7,1.00000,0.00000,,,,83,9,1.00000,0.00000,,,,<LOD,41,1.00000,0.00000,,,,88,12,1.00000,0.00000,,,,<LOD,53,1.00000,0.00000,,,,<LOD,59,1.00000,0.00000,,,,<LOD,0,1.00000,0.00000,,,,<LOD,244,1.00000,0.00000,,,,<LOD,260,1.00000,0.00000,,,,<LOD,342,1.00000,0.00000,,,,<LOD,13253,1.00000,0.00000,,,,<LOD,22942,1.00000,0.00000,,,,<LOD,24392,1.00000,0.00000,,,,<LOD,37157,1.00000,0.00000,,,,<LOD,81012,1.00000,0.00000,,,,<LOD,460,1.00000,0.00000,,,,<LOD,105,1.00000,0.00000,,,,<LOD,222,1.00000,0.00000,,,,108,22,1.00000,0.00000,,,,<LOD,325,1.00000,0.00000,,,,125,32,1.00000,0.00000,,,,<LOD,111,1.00000,0.00000,,,,728969,3023,1.00000,0.00000,B_C1_C,10,20,20,
820926,7,2024-04-22,11:24:09,Geochem(3-Beam),,7,No,,,PPM,,,,<LOD,177883,1.00000,0.00000,,,,<LOD,21371,1.00000,0.00000,,,,46568,1093,1.00000,0.00000,,,,9106,322,1.00000,0.00000,,,,3515,224,1.00000,0.00000,,,,2699,295,1.00000,0.00000,,,,42536,636,1.00000,0.00000,,,,13513,829,1.00000,0.00000,,,,<LOD,940,1.00000,0.00000,,,,989,151,1.00000,0.00000,,,,1069,118,1.00000,0.00000,,,,16824,391,1.00000,0.00000,,,,<LOD,405,1.00000,0.00000,,,,<LOD,121,1.00000,0.00000,,,,3588,105,1.00000,0.00000,,,,470,34,1.00000,0.00000,,,,39,10,1.00000,0.00000,,,,<LOD,20,1.00000,0.00000,,,,13,4,1.00000,0.00000,,,,54,5,1.00000,0.00000,,,,25,5,1.00000,0.00000,,,,40,6,1.00000,0.00000,,,,<LOD,32,1.00000,0.00000,,,,<LOD,36,1.00000,0.00000,,,,<LOD,0,1.00000,0.00000,,,,<LOD,158,1.00000,0.00000,,,,<LOD,169,1.00000,0.00000,,,,<LOD,230,1.00000,0.00000,,,,<LOD,11244,1.00000,0.00000,,,,<LOD,19687,1.00000,0.00000,,,,<LOD,21464,1.00000,0.00000,,,,<LOD,32746,1.00000,0.00000,,,,<LOD,66753,1.00000,0.00000,,,,<LOD,249,1.00000,0.00000,,,,<LOD,62,1.00000,0.00000,,,,<LOD,127,1.00000,0.00000,,,,35,11,1.00000,0.00000,,,,<LOD,197,1.00000,0.00000,,,,84,19,1.00000,0.00000,,,,29,10,1.00000,0.00000,,,,858804,1495,1.00000,0.00000,A_A3_W,10,20,20,
820926,8,2024-04-22,11:30:47,Geochem(3-Beam),,8,No,,,PPM,,,,<LOD,36538,1.00000,0.00000,,,,51462,1008,1.00000,0.00000,,,,205695,1176,1.00000,0.00000,,,,3965,110,1.00000,0.00000,,,,1218,75,1.00000,0.00000,,,,<LOD,1221,1.00000,0.00000,,,,14646,117,1.00000,0.00000,,,,7230,353,1.00000,0.00000,,,,<LOD,387,1.00000,0.00000,,,,<LOD,209,1.00000,0.00000,,,,715,48,1.00000,0.00000,,,,35781,309,1.00000,0.00000,,,,<LOD,296,1.00000,0.00000,,,,46,11,1.00000,0.00000,,,,176,13,1.00000,0.00000,,,,123,9,1.00000,0.00000,,,,32,5,1.00000,0.00000,,,,<LOD,8,1.00000,0.00000,,,,118,4,1.00000,0.00000,,,,212,4,1.00000,0.00000,,,,39,3,1.00000,0.00000,,,,620,8,1.00000,0.00000,,,,38,3,1.00000,0.00000,,,,<LOD,18,1.00000,0.00000,,,,<LOD,0,1.00000,0.00000,,,,<LOD,76,1.00000,0.00000,,,,<LOD,87,1.00000,0.00000,,,,<LOD,116,1.00000,0.00000,,,,66,15,1.00000,0.00000,,,,<LOD,8092,1.00000,0.00000,,,,<LOD,8774,1.00000,0.00000,,,,<LOD,13044,1.00000,0.00000,,,,<LOD,27464,1.00000,0.00000,,,,<LOD,80,1.00000,0.00000,,,,<LOD,22,1.00000,0.00000,,,,<LOD,42,1.00000,0.00000,,,,72,6,1.00000,0.00000,,,,<LOD,90,1.00000,0.00000,,,,77,9,1.00000,0.00000,,,,<LOD,27,1.00000,0.00000,,,,677668,1377,1.00000,0.00000,D_A1_C,10,20,20,
820926,9,2024-04-22,11:34:24,Geochem(3-Beam),,9,No,,,PPM,,,,<LOD,38686,1.00000,0.00000,,,,39520,859,1.00000,0.00000,,,,165386,933,1.00000,0.00000,,,,3046,87,1.00000,0.00000,,,,949,61,1.00000,0.00000,,,,<LOD,1293,1.00000,0.00000,,,,11674,88,1.00000,0.00000,,,,6198,290,1.00000,0.00000,,,,<LOD,305,1.00000,0.00000,,,,<LOD,168,1.00000,0.00000,,,,530,38,1.00000,0.00000,,,,25896,221,1.00000,0.00000,,,,<LOD,226,1.00000,0.00000,,,,26,8,1.00000,0.00000,,,,128,10,1.00000,0.00000,,,,93,7,1.00000,0.00000,,,,17,4,1.00000,0.00000,,,,<LOD,6,1.00000,0.00000,,,,91,3,1.00000,0.00000,,,,176,3,1.00000,0.00000,,,,34,2,1.00000,0.00000,,,,505,6,1.00000,0.00000,,,,27,3,1.00000,0.00000,,,,<LOD,16,1.00000,0.00000,,,,<LOD,0,1.00000,0.00000,,,,<LOD,72,1.00000,0.00000,,,,<LOD,84,1.00000,0.00000,,,,<LOD,112,1.00000,0.00000,,,,146,17,1.00000,0.00000,,,,<LOD,6666,1.00000,0.00000,,,,<LOD,7086,1.00000,0.00000,,,,<LOD,10501,1.00000,0.00000,,,,<LOD,22297,1.00000,0.00000,,,,<LOD,68,1.00000,0.00000,,,,<LOD,19,1.00000,0.00000,,,,<LOD,36,1.00000,0.00000,,,,56,4,1.00000,0.00000,,,,<LOD,74,1.00000,0.00000,,,,35,7,1.00000,0.00000,,,,<LOD,22,1.00000,0.00000,,,,745467,1145,1.00000,0.00000,D_A2_S,10,20,20,
820926,10,2024-04-22,11:39:42,Geochem(3-Beam),,10,No,,,PPM,,,,<LOD,36652,1.00000,0.00000,,,,61539,1139,1.00000,0.00000,,,,240169,1395,1.00000,0.00000,,,,3840,126,1.00000,0.00000,,,,914,88,1.00000,0.00000,,,,<LOD,1225,1.00000,0.00000,,,,15271,133,1.00000,0.00000,,,,8584,407,1.00000,0.00000,,,,<LOD,449,1.00000,0.00000,,,,<LOD,231,1.00000,0.00000,,,,740,54,1.00000,0.00000,,,,40955,371,1.00000,0.00000,,,,<LOD,344,1.00000,0.00000,,,,50,12,1.00000,0.00000,,,,188,15,1.00000,0.00000,,,,128,11,1.00000,0.00000,,,,34,6,1.00000,0.00000,,,,<LOD,9,1.00000,0.00000,,,,131,4,1.00000,0.00000,,,,231,5,1.00000,0.00000,,,,50,4,1.00000,0.00000,,,,751,10,1.00000,0.00000,,,,38,4,1.00000,0.00000,,,,<LOD,21,1.00000,0.00000,,,,<LOD,0,1.00000,0.00000,,,,<LOD,83,1.00000,0.00000,,,,<LOD,93,1.00000,0.00000,,,,<LOD,124,1.00000,0.00000,,,,71,15,1.00000,0.00000,,,,<LOD,9629,1.00000,0.00000,,,,<LOD,9958,1.00000,0.00000,,,,<LOD,15151,1.00000,0.00000,,,,<LOD,31481,1.00000,0.00000,,,,<LOD,99,1.00000,0.00000,,,,<LOD,27,1.00000,0.00000,,,,<LOD,53,1.00000,0.00000,,,,64,6,1.00000,0.00000,,,,<LOD,100,1.00000,0.00000,,,,76,10,1.00000,0.00000,,,,<LOD,30,1.00000,0.00000,,,,626175,1592,1.00000,0.00000,D_A2_C,10,20,20,
